X,Y
-1.295338757,36.757017
-1.202642914,36.91354
-1.271499736,36.735703
-1.262089856,36.855877
-1.249724902,36.90199
-1.253844882,36.882204
-1.271499736,36.735703
-1.281651751,36.750759
-1.255515873,36.873016
-1.295338757,36.757017
-1.312077788,36.787825
-1.295338757,36.757017
-1.202642914,36.91354
-1.262089856,36.855877
-1.241814873,36.87283
-1.312077788,36.787825
-1.253844882,36.882204
-1.241814873,36.87283
-1.312077788,36.787825
-1.281651751,36.750759
-1.241814873,36.87283
-1.281651751,36.750759
-1.262089856,36.855877
-1.249724902,36.90199
-1.255515873,36.873016
-1.202642914,36.91354
-1.312077788,36.787825
-1.281651751,36.750759
-1.312077788,36.787825
-1.202642914,36.91354
